concept_rank,concept_name,prompt_id,prompt
1,Golden flower heads and bold floral still lifes,C01P01,"a cracked earthenware vase packed with towering yellow blooms on a rough wooden table, thick oil strokes and ochre paint ridges"
1,Golden flower heads and bold floral still lifes,C01P02,"wilted golden flower heads drooping beside fresh blooms in a green bottle, coarse brushwork against a pale plaster wall"
1,Golden flower heads and bold floral still lifes,C01P03,"close view of seed-heavy floral disks spilling from a blue ceramic jug, textured impasto and visible canvas grain"
1,Golden flower heads and bold floral still lifes,C01P04,"large yellow blossoms arranged in a low mustard bowl on a windowsill, broken brush marks and warm baked color"
1,Golden flower heads and bold floral still lifes,C01P05,"a single tall yellow bloom leaning over a folded cloth and clay cup, rough paint surface with bristled strokes"
1,Golden flower heads and bold floral still lifes,C01P06,"a bouquet of oversized golden flowers crowding the frame from below, dense yellow petals modeled with loaded oil paint"
1,Golden flower heads and bold floral still lifes,C01P07,"cut yellow blooms scattered across a tabletop with a small knife and twine, gritty pigment and matte painted texture"
1,Golden flower heads and bold floral still lifes,C01P08,"seed-heavy blossoms in different stages of bloom inside a narrow glass jar, lively contour strokes over a mint wall"
1,Golden flower heads and bold floral still lifes,C01P09,"an overflowing crock of golden flowers beside striped wallpaper, thick petals and dry brush accents"
1,Golden flower heads and bold floral still lifes,C01P10,"flower heads seen from above on a blue table, swirling paint rings around dark centers"
1,Golden flower heads and bold floral still lifes,C01P11,"a rustic shelf holding a clay pot of yellow blooms and onions, heavy brushwork with earthy orange shadows"
1,Golden flower heads and bold floral still lifes,C01P12,"golden flower heads mixed with green leaves in a squat yellow vase, paint laid on in short rhythmic strokes"
1,Golden flower heads and bold floral still lifes,C01P13,"fallen petals around a chipped pitcher and thick seeded blooms, textured oil handling and rough linen weave"
1,Golden flower heads and bold floral still lifes,C01P14,"three giant yellow blooms pressed close to the picture plane, thick contour lines and buttery color"
1,Golden flower heads and bold floral still lifes,C01P15,"golden flowers beside a small open book on a red tabletop, coarse impasto with visible scrape marks"
2,Star-filled night skies over villages and fields,C02P01,"a hill village under a swirling field of stars, rolling brushwork and deep blue paint eddies"
2,Star-filled night skies over villages and fields,C02P02,"crescent moon above dark rooftops and a narrow church spire, thick night-sky strokes over a sleeping town"
2,Star-filled night skies over villages and fields,C02P03,"bright stars turning above an empty wheat field, textured oil paint and restless curved marks"
2,Star-filled night skies over villages and fields,C02P04,"a footpath leading toward cottages beneath a churning midnight sky, visible canvas grain and cobalt spirals"
2,Star-filled night skies over villages and fields,C02P05,"river reflections trembling under clustered stars and a pale moon, broken brushwork with luminous paint ridges"
2,Star-filled night skies over villages and fields,C02P06,"small houses huddled under broad night clouds and scattered stars, rough pigment layered in sweeping arcs"
2,Star-filled night skies over villages and fields,C02P07,"a quiet square lit by a few windows beneath a wind-tossed sky, impasto blues and sulfur-yellow dots"
2,Star-filled night skies over villages and fields,C02P08,"rolling hills under an immense star-strewn vault, loaded brush strokes with swirling bands of paint"
2,Star-filled night skies over villages and fields,C02P09,"dark meadow with a low fence under moving stars, coarse texture and whorled sky patterns"
2,Star-filled night skies over villages and fields,C02P10,"rooftops seen from an upper window beneath a radiant night sky, thick contour paint and glowing celestial circles"
2,Star-filled night skies over villages and fields,C02P11,"a lane beside gardens under a moonlit sky full of spinning stars, tactile oil surface and curved line rhythms"
2,Star-filled night skies over villages and fields,C02P12,"isolated farmhouse under a vast indigo sky, luminous stars pressed into heavy brushwork"
2,Star-filled night skies over villages and fields,C02P13,"village edge with bare trees against a moving night sky, rough paint ridges and bright star halos"
2,Star-filled night skies over villages and fields,C02P14,"low hills and a winding road under clustered constellations, expressive strokes and visible underpainting"
2,Star-filled night skies over villages and fields,C02P15,"a field boundary and distant houses beneath a moon and crowded stars, dense paint texture with circular motion"
3,Wheat fields and harvest landscapes,C03P01,"a broad wheat field cut by a dirt path, thick yellow brushwork under a moving blue sky"
3,Wheat fields and harvest landscapes,C03P02,"ripe grain bending in crosswinds beside a low farmhouse, rough oil texture and slashing strokes"
3,Wheat fields and harvest landscapes,C03P03,"wheat sheaves stacked near a field edge, coarse paint handling with ochre and rust layers"
3,Wheat fields and harvest landscapes,C03P04,"a narrow lane disappearing through tall wheat, bristled brush marks and visible canvas weave"
3,Wheat fields and harvest landscapes,C03P05,"golden fields meeting violet hills at the horizon, loaded paint and broken contours"
3,Wheat fields and harvest landscapes,C03P06,"freshly cut rows of wheat with scattered tools, textured pigment and earthy impasto"
3,Wheat fields and harvest landscapes,C03P07,"a field corner with wildflowers and grain under white clouds, short rhythmic strokes across the surface"
3,Wheat fields and harvest landscapes,C03P08,"wheat rippling around a worn fence post, thick oil paint dragged in directional bands"
3,Wheat fields and harvest landscapes,C03P09,"sunlit grain beyond a cluster of barns, rough brushwork with dense yellow and blue contrast"
